,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
528,audifonos in-ear inalambricos skullcandy sesh true wireless earbuds negro,SKULLCANDY,in-ear,bluetooth,No-gamer,7.0,4.5,234000,USA,high-end
529,audifonos earpods apple iphone lighting 7 8 x plus original,APPLE,Headphones,wire,No-gamer,0.0,4.5,85000,USA,Mobil accessories
530,audifonos in-ear inalambricos soundcore life series p2i negro,SOUNDCORE,in-ear,bluetooth,No-gamer,0.0,4.5,209899,China,high-end
531,audifonos in-ear inalambricos samsung galaxy buds blanco,SAMSUNG,in-ear,bluetooth,No-gamer,100.0,4.5,549500,Korea,Mobil accessories
535,audifonos originales samsung note 9 akg garantia 3 meses,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,49990,Korea,Mobil accessories
537,audifonos originales iphone 6 apple earpods garantia 3 meses,APPLE,Headphones,wire,No-gamer,0.0,4.5,69990,USA,Mobil accessories
538,audifonos inalambricos jbl live 650 btnc negro,JBL,Headphones,bluetooth,No-gamer,7.0,4.5,636776,USA,high-end
541,audifonos in-ear inalambricos huawei freebuds 4 ceramic white,HUAWEI,in-ear,bluetooth,No-gamer,10.0,4.5,699900,China,Mobil accessories
544,airpods pro 2da generacion inalambricos aaa - contramarcados,APPLE,in-ear,bluetooth,No-gamer,0.0,4.5,249900,USA,Mobil accessories
545,apple airpods max - verde,APPLE,in-ear,wire,No-gamer,13.0,4.5,3625900,USA,Mobil accessories
546,audifonos in-ear inalambricos xiaomi redmi airdots 2,XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,51900,China,Mobil accessories
548,audifonos in-ear deportivos lenovo livepods lp75 bluetoot5.3,LENOVO,in-ear,wire,No-gamer,0.0,4.5,144900,China,Mobil accessories
551,"audifonos inalambricos n65s micro sd, fm, bluetooth lcd 1.5 ",OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,33999,China,Other
552,"audifonos lenovo lp75 deportivos bluetooth 5,3 original!",LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,145900,China,Mobil accessories
556,bluetooth 5.0 audifonos in-ear inalambricos tws negro gamer,OTHER,in-ear,bluetooth,gamer,0.0,4.5,55000,China,Other
557,audifonos bluetooth xiaomi redmi buds 3 lite blanco original,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,109890,China,Mobil accessories
558,apple airpods max - plateado,APPLE,in-ear,wire,No-gamer,13.0,4.5,4335900,USA,Mobil accessories
559,auriculares bluetooth maxell one mobile mono auricular,MAXELL,Headphones,bluetooth,No-gamer,0.0,4.5,49900,Japan,Mobil accessories
563,airpods pro aaa inalambricos contramarcados ,APPLE,in-ear,bluetooth,No-gamer,0.0,4.5,149900,USA,Mobil accessories
565,manos libres airess xg8 bluetoth 5.0 real / charge indicator,OTHER,in-ear,wire,No-gamer,0.0,4.5,229900,China,Other
569,samsung buds 2,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,319900,Korea,Mobil accessories
571,audifonos in-ear inalambricos huawei freebuds 3 rojo,HUAWEI,in-ear,bluetooth,No-gamer,44.0,4.5,349900,China,Mobil accessories
576,audifonos inalambricos bluetooth 5.0 ,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,37900,China,Other
579,audifonos in ear maxell solid+ sin-8 3.5mm con microfono,MAXELL,Headphones,wire,No-gamer,27.0,4.5,44424,Japan,Mobil accessories
584,audifonos in-ear bluethooth lenovo livepods lp40pro violeta,LENOVO,in-ear,wire,No-gamer,0.0,4.5,81500,China,Mobil accessories
591,audifonos lenovo lp50 audifonos tws - super precio!!,LENOVO,Headphones,wire,No-gamer,0.0,4.5,129900,China,Mobil accessories
592,audifonos in-ear inalambricos bose soundsport free midnight blue,BOSE,in-ear,bluetooth,No-gamer,54.0,4.5,2114900,USA,professional
593,audifonos 100% lenovo true wireless qt82 bt 5.0 negros ya!!,LENOVO,Headphones,wire,No-gamer,0.0,4.5,76000,China,Mobil accessories
594,audifonos diadema bluetooth v5.0 motorola moto xt220,MOTOROLA,Headphones,bluetooth,No-gamer,0.0,4.5,144900,USA,Mobil accessories
596,audifonos pioneer hdj-x10 negro,PIONEER,Headphones,wire,No-gamer,0.0,4.5,1770200,Japan,professional
597,audifonos lenovo xt83 tws auriculares bluetooth inalambricos,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,89900,China,Mobil accessories
599,"earpods audifononos iphone apple, iphone 6/6s originales",APPLE,Headphones,wire,No-gamer,0.0,4.5,60000,USA,Mobil accessories
602,audifonos inalambricos soundcore life series life q35 azul,SOUNDCORE,Headphones,bluetooth,No-gamer,0.0,4.5,639900,China,high-end
604,"audifonos conduccion osea lenovo x4 inalambricos, bluetooth.",LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,202000,China,Mobil accessories
606,audifonos xiaomi piston fresh manos libres original 1 more ,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,34999,China,Mobil accessories
608,"audifonos akg samsung s22/22/+/ultra,s21/21+,21ultra,note10",SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,69000,Korea,Mobil accessories
610,"auriculares inalambricos con bluetooth, 5.0 manos libres",OTHER,in-ear,bluetooth,No-gamer,0.0,4.5,90000,China,Other
611,audifonos jbl tune 230 nc tws inalambrico 40 horas,JBL,Headphones,bluetooth,No-gamer,0.0,4.5,408600,USA,high-end
612,audifonos bluetooth lenovo x3 pro conduccion osea 7 horas,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,189990,China,Mobil accessories
613,audifonos sennheiser hd 25 plus black,SENNHEISER,Headphones,wire,No-gamer,0.0,4.5,1290000,Germany,high-end
614,manos libres mh-410c conector recto 3.5mm,OTHER,in-ear,wire,No-gamer,0.0,4.5,21900,China,Other
618,audifonos lenovo gm5  para juegos con bluetooth inalambricos,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,89900,China,Mobil accessories
620,audifonos bluetooth inalambricos  xiaomi redmi buds 3 ,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,179980,China,Mobil accessories
630,audifonos in-ear inalambricos bose soundsport wireless aqua,BOSE,in-ear,bluetooth,No-gamer,17.0,4.5,899000,USA,professional
631,"lenovo lp40 tws bluetooth 5,0",LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,70000,China,Mobil accessories
632,audifonos sony bluetooth con noise cancelling - wf-1000xm4,SONY,Headphones,bluetooth,No-gamer,0.0,4.5,1499904,Japan,high-end
